latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-18.26674,-42.37248,318.8,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.6,2.4,N
-18.27496,-42.30433,311,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,289.7,0.9,N
-18.26249,-42.3759,315.6,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.4,2.6,N
-18.26321,-42.37175,335.9,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,291.4,2.4,N
-18.25968,-42.37102,347.8,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,291.8,4.1,N
-18.25615,-42.37028,313.9,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290,4.1,N
-18.23042,-42.51727,307.3,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.3,1.2,N
-18.27191,-42.30521,309.9,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,289.9,0.8,N
-18.21515,-42.6393,302.8,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.1,1.1,N
-18.2612,-42.36858,327.5,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.6,2.5,N
-18.26049,-42.37276,333.3,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,291.3,2.5,N
-18.25767,-42.36783,308.6,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.3,2.5,N
-18.25695,-42.37203,329.6,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.9,2.5,N
-18.21835,-42.53404,313.1,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290,1.4,N
-18.21763,-42.53824,314.8,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.3,1.4,N
-18.21688,-42.54264,303.2,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.5,1.1,N
-18.21331,-42.54201,308.2,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.8,1.1,N
-18.20973,-42.54138,326.3,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.9,2.2,N
-18.20615,-42.54076,316.4,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.4,2.2,N
-18.27627,-41.79035,309.2,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,289.4,1.6,N
-18.15635,-42.48767,311.9,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,288.3,1.9,N
-18.27693,-41.78643,338.6,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,290.9,5.9,N
-18.11076,-42.40147,317.9,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.5,1.3,N
-17.95714,-43.28687,313.3,0.49,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.1,1.5,N
-17.95634,-43.29144,305.8,0.49,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.4,2.1,N
-18.1072,-42.40086,310.2,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.4,1.3,N
-18.10648,-42.40504,306.2,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.6,1.3,N
-18.1008,-42.3954,328.6,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289,3.6,N
-18.09796,-42.39056,311.8,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.7,1.6,N
-17.17867,-47.36462,312.2,0.59,0.53,2019-10-20,03:48,N,nominal,1.0NRT,287.2,2.1,N
-17.17762,-47.36992,301.7,0.59,0.53,2019-10-20,03:48,N,nominal,1.0NRT,281.2,2.1,N
-18.09725,-42.3947,324.5,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.8,1.6,N
-18.09441,-42.38991,309.1,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,291,1.6,N
-18.19009,-41.80785,295.7,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,275.6,0.5,N
-18.19143,-41.79993,329.6,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,279.3,4.9,N
-18.19076,-41.80385,343.4,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.1,4.9,N
-18.18864,-41.79525,318,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,273.1,2.5,N
-18.18732,-41.80305,312.9,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,281.7,4.9,N
-18.18664,-41.80707,300.2,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,275.9,0.5,N
-18.18798,-41.79915,348.4,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,281.8,4.9,N
-18.18517,-41.79463,315.9,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,270.9,1.4,N
-18.18452,-41.79852,334.9,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,278.6,4,N
-18.1032,-42.25376,309.1,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,292,1.3,N
-18.18103,-41.79795,330.1,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,276.2,4,N
-18.17755,-41.79739,308,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,273.4,1.1,N
-18.10038,-42.249,306.9,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,292.1,1,N
-18.09826,-42.2401,306.9,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,291.2,1.3,N
-18.09683,-42.24839,309.9,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,291.6,1,N
-18.16601,-41.82325,308,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,270.4,1.6,N
-18.16254,-41.82257,324.8,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,273.8,1.6,N
-18.15974,-41.81802,295.9,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,273.3,0.7,N
-18.15907,-41.82195,306.5,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,275.6,0.7,N
-18.15838,-41.82602,305.1,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,277.1,1.1,N
-18.07184,-42.32963,308.7,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,292.3,0.9,N
-17.66751,-44.57988,298.8,0.39,0.44,2019-10-20,03:48,N,nominal,1.0NRT,279.3,1.6,N
-18.08843,-42.23375,342.5,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,294.4,7.3,N
-18.15559,-41.82134,303.8,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,277.9,0.7,N
-17.66278,-44.58295,306.2,0.39,0.44,2019-10-20,03:48,N,nominal,1.0NRT,278.7,1.6,N
-18.08775,-42.21658,327,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,291.9,8.1,N
-18.08703,-42.22075,347.4,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,294.7,8.1,N
-18.08424,-42.21584,327.7,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,293.2,12.7,N
-18.08352,-42.21997,349.7,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,299.4,12.7,N
-18.08281,-42.22411,328.1,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,292.5,4.4,N
-17.24461,-46.70871,310.2,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,290,1.6,N
-18.08002,-42.2192,351,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,296.7,12.7,N
-18.07929,-42.22336,332.3,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,293.2,4.4,N
-17.24001,-46.70759,307.1,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,290.2,2.9,N
-17.24098,-46.70271,320.6,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291,2.5,N
-17.23638,-46.70163,321.2,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.8,2.5,N
-18.04006,-42.39415,309.8,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.6,1.2,N
-17.88922,-43.18532,307,0.49,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.2,1.4,N
-17.24707,-46.70753,304.1,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,290.3,1.5,N
-17.24246,-46.70645,317.8,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,290.5,1.5,N
-17.2388,-46.70044,308.9,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,290.6,2.2,N
-17.23786,-46.70533,314.7,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.2,2.2,N
-17.23419,-46.6994,313.5,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.8,2.2,N
-17.22863,-46.70323,305.3,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,290.1,2.5,N
-17.22956,-46.69839,329.4,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.9,2.5,N
-17.22495,-46.69737,316.5,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.6,2.5,N
-17.224,-46.70229,313.8,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.3,2.5,N
-17.22109,-46.71738,310.8,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,291.7,4.4,N
-17.22205,-46.7124,337.6,0.53,0.5,2019-10-20,03:48,N,nominal,1.0NRT,292.4,6.6,N
-17.991,-42.38053,311.4,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.9,1.1,N
-18.0611,-41.77999,303.5,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.8,1.5,N
-18.06041,-41.78403,316.2,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.9,2.6,N
-17.94641,-42.34139,303.9,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.6,0.8,N
-17.94287,-42.34071,305.5,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,288.7,0.8,N
-17.96662,-42.14541,316.1,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,286.4,2.3,N
